start-b1,time1-b1,time2-b1,,output-b2,,start-b2,time1,time2,,output-b3,,start-b3,time1,time2
1679932176.213,23.470,1.411,,1679932786.477,1679932787.751,1679932785.693,38.739,2.338,,1679933184.381,1679933205.507,1679933183.242,28.356,2.335
1679932238.203,23.733,1.082,,1679932832.749,1679932834.138,1679932831.596,39.010,2.749,,1679933426.462,1679933445.759,1679933425.261,27.600,2.749
1679932300.608,22.435,2.983,,1679932878.100,1679932879.364,1679932876.893,38.060,2.642,,1679933487.359,1679933506.500,1679933486.195,28.103,2.363
1679932362.321,23.609,1.646,,1679932923.297,1679932924.523,1679932922.133,38.208,2.528,,,,,,
1679932424.856,23.843,1.988,,1679932968.460,1679932969.719,1679932967.313,38.313,2.335,,,,,,
1679932486.468,23.586,1.860,,1679933013.830,1679933015.137,1679933013.054,38.781,2.447,,,,,,
1679932548.309,24.031,1.268,,1679933058.764,1679933060.236,1679933058.015,38.226,2.498,,,,,,
1679932610.496,23.666,1.818,,1679933103.907,1679933105.261,1679933103.165,38.009,2.695,,,,,,
1679932672.125,23.520,1.630,,1679933148.956,1679933150.226,1679933148.206,38.268,2.588,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
t1-b1,t2-b1,action-b1,total,t1-b2,t2-b2,action-b2,R-b2,total,,t1-b3,t2-b3,action-b3,R-b3,total
23.470,1.411,35.119,60.000,38.739,2.338,0.784,1.274,43.135,,28.356,2.335,1.139,21.127,52.957
23.733,1.082,35.185,60.000,39.010,2.749,1.154,1.389,44.302,,27.600,2.749,1.201,19.297,50.846
22.435,2.983,34.582,60.000,38.060,2.642,1.207,1.263,43.172,,28.103,2.363,1.164,19.140,50.771
23.609,1.646,34.746,60.000,38.208,2.528,1.164,1.227,43.126,,,,,,
23.843,1.988,34.169,60.000,38.313,2.335,1.147,1.258,43.053,,,,,,
23.586,1.860,34.554,60.000,38.781,2.447,0.776,1.307,43.312,,,,,,
24.031,1.268,34.702,60.000,38.226,2.498,0.749,1.472,42.945,,,,,,
23.666,1.818,34.516,60.000,38.009,2.695,0.742,1.354,42.800,,,,,,
23.520,1.630,34.850,60.000,38.268,2.588,0.750,1.270,42.876,,,,,,